"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_RULER_GOBLIN_QUEEN_PASSIVE_DES","Defeating an enemy has a 30% chance of dropping 1 Elixir","Éliminer un ennemi a 30 % de chances de donner 1 élixir","Wenn du einen Gegner besiegst, besteht eine 30%ige Chance, dass er 1 Elixier fallen lässt.","Los enemigos tienen un 30 % de probabilidad de soltar 1 de elixir al ser derrotados.","Hai il 30% di possibilità di ottenere un'unità d'elisir sconfiggendo un nemico.","Als je een vijand verslaat, heb je 30% kans dat die 1 elixir laat vallen.","Når du overvinner en fiende, er det 30 % sjanse for et slipp av 1 eliksir","Bir düşmanı yok ettiğinde %30 ihtimalle 1 iksir kazanırsın.","敵を倒すと30％の確率で1エリクサーがドロップ","적을 처치하면 30% 확률로 1엘릭서를 획득합니다.","При победе над врагом ты с вероятностью 30 % получишь 1 каплю эликсира.","هناك فرصة 30% لسقوط 1 إكسير من عدو تهزمه.","Ao serem derrotados, os inimigos têm 30% de chance de deixar 1 de elixir.","击倒一个敌人后有30%几率掉落1圣水。","擊殺一個敵人後有30%機率掉落1聖水。","با شکست دادن دشمن، 30% احتمال داره 1 اکسیر گیرت بیاد","Dapatkan 30% peluang untuk mendapatkan 1 Eliksir saat mengalahkan lawan.","Anda mempunyai 30% peluang mendapat 1 eliksir selepas mengalahkan musuh.","การเอาชนะศัตรูมอบโอกาส 30% ที่จะดรอปน้ำอมฤต 1 หยด","Vastustajan päihittämisellä on 30 %:n mahdollisuus pudottaa yksi eliksiiri.","Mỗi đối thủ bị hạ gục có 30% khả năng để lại 1 Tiên dược."
"TID_RULER_ELIXIR_LOONG_PASSIVE_TITLE","Endless Spring","Fontaine éternelle","Elixierquelle","Dulce primavera","Primavera perenne","Eindeloze lente","Evig vår","Sonsuz Bahar","恵みのオアシス","화수분","Вечная весна","ربيع لا ينتهي","Primavera eterna","源源不断","源源不斷","سرچشمه بی‌پایان","Panen Berkelanjutan","Musim Bunga Tidak Berhujung","บ่อน้ำทิพย์ไร้สิ้นสุด","Pohjaton kaivo","Suối nguồn bất tận"
"TID_RULER_ELIXIR_LOONG_PASSIVE_DES","Gain +1 Elixir per round","Gagnez +1 élixir par round","Du erhältst +1 Elixier pro Runde.","Gana +1 de elixir por ronda.","Ottieni un'unità d'elisir a ogni turno.","Krijg +1 elixir per ronde.","Få +1 eliksir per runde","Tur başına +1 iksir kazanırsın.","毎ラウンド、1エリクサーを獲得","매 라운드마다 +1엘릭서를 획득합니다.","Получай по 1 капле эликсира каждый раунд.","اكسب +1 من الإكسير في كل جولة.","Concede +1 de elixir por rodada.","每轮+1圣水。","每輪+1聖水。","به‌دست آوردن 1 اکسیر بیشتر در هر دور","Dapatkan +1 Eliksir per ronde.","Dapat +1 eliksir setiap pusingan.","รับน้ำอมฤตเพิ่ม 1 หยดต่อรอบ","Saat yhden lisäeliksiirin erää kohden.","Nhận thêm 1 Tiên dược mỗi hiệp."
"TID_TRAIT_JUGGERNAUT_DES_A","+30% bonus Shield","+30 % de bouclier bonus","+30 % Bonusschild","+30 % de escudo bonus.","Scudo del 30% della salute.","+30% bonusschild","+30 % ekstra skjold","+%30 bonus kalkan","30％のシールド効果を付与","+30% 보너스 실드를 얻습니다.","Увеличивает прочность щита на 30 %.","+30‏% درع إضافي","+30% de escudo bônus.","+30%额外护盾","+30%額外護盾","‏‎+30% سپر پاداش","+30% bonus Perisai","+30% pelindung bonus","โบนัสโล่ป้องกัน +30%","+30 % lisäkilpi","+30% Khiên chắn thưởng"
"TID_TRAIT_JUGGERNAUT_DES_B","+60% bonus Shield","+60 % de bouclier bonus","+60 % Bonusschild","+60 % de escudo bonus.","Scudo del 60% della salute.","+60% bonusschild","+60 % ekstra skjold","+%60 bonus kalkan","60％のシールド効果を付与","+60% 보너스 실드를 얻습니다.","Увеличивает прочность щита на 60 %.","+60‏% درع إضافي","+60% de escudo bônus.","+60%额外护盾","+60%額外護盾","‏‎+60% سپر پاداش","+60% bonus Perisai","+60% pelindung bonus","โบนัสโล่ป้องกัน +60%","+60 % lisäkilpi","+60% Khiên chắn thưởng"
"TID_SPELL_INFO_EVO_WITCH","Witch's Skeletons are willing to sacrifice themselves for their beloved leader, lending their souls to heal her when they're destroyed.","Les squelettes de la sorcière sont prêts à se sacrifier pour leur cheffe bien-aimée, lui donnant leur âme et la soignant quand ils sont éliminés.","Wenn die Skelette der Hexe besiegt werden, leihen sie ihre Seelen bereitwillig ihrer geliebten Herrin und heilen diese dadurch.","Los esqueletos de la bruja están dispuestos a sacrificarse por su adorada líder. Cuando los destruyan, entregarán su alma para que ella se cure.","Gli scheletri della strega sono disposti a sacrificarsi per la loro amata padrona, concedendole la loro anima per curarla quando vengono eliminati.","De skeletten van de heks offeren zichzelf graag op voor hun dierbare leider. Ze geven hun zielen op om haar te genezen als ze verslagen worden.","Heksens skjeletter er villige til å ofre seg selv for sin elskede leder, gjennom å låne bort sjelene sine for å helbrede henne når de blir ødelagt.","Cadının iskeletleri, çok sevdikleri liderleri için kendilerini feda etmeye hazır. Yok edildiklerinde ruhlarını ona bırakıp iyileşmesini sağlıyorlar.","すべては愛するネクロマンサーのため！限界突破ネクロマンサーは倒されたスケルトンの魂を取り込み、自身を回復させます。","마녀가 소환한 해골 병사는 처치될 때 영혼을 바쳐 마녀를 치유해 줍니다. 마녀를 향한 존경과 희생정신이 대단하죠.","Ведьмины скелеты готовы пожертвовать собой ради любимой предводительницы. При уничтожении они отдают ведьме свои души, исцеляя ее.","هياكل الساحرة العظمية مستعدة للتضحية بأرواحها في سبيل قائدتها المحبوبة؛ حيث ستعيرها أرواحها لتمدها بالشفاء بعد السقوط في المعركة.","Os Esqueletos fazem de tudo pela Bruxa, até se sacrificam em nome dela! Quando destruídos, oferecem as suas almas para curar a sua mentora.","为了最爱的女巫领袖，骷髅兵甘愿牺牲自已。被击倒时，他们会奉献自己的灵魂来治疗女巫。","為了心愛的女巫，骷髏兵甘願犧牲自已。被摧毀時，他們會奉獻自己的靈魂來治療女巫。","اسکلت‌های ساحره حاضرن خودشون رو فدای رهبر محبوبشون کنن؛ وقتی از بین میرن، روحشون رو به اون می‌دن و باعث درمانش می‌شن.","Apa yang tidak akan dikorbankan Jerangkong untuk Nenek Sihir tersayang?! Bahkan diri pun akan dikorbankan selama Nenek Sihir bisa disembuhkan!","Rangka Sihir Perempuan sanggup korbankan diri demi ketua kesayangan mereka, menyembuhkannya dengan roh mereka apabila dimusnahkan.","โครงกระดูกของแม่มดเต็มใจที่จะสละชีวิตเพื่อผู้นำอันเป็นที่รักของพวกเขาแบบถวายจิตและวิญญาณเพื่อเยียวยานางเมื่อพวกเขาถูกทำลาย","Noidan luurangot ovat valmiina uhraamaan itsensä rakkaan johtajansa puolesta. Kaatuessaan ne parantavat noitaa.","Các Bộ xương của Phù thủy luôn sẵn sàng hy sinh bản thân cho thủ lĩnh yêu quý của mình. Khi bị tiêu diệt, chúng sẽ đánh đổi linh hồn của mình để hồi máu cho cô ta."
"TID_SPELL_INFO_GOBLIN_HUT_REWORK","Defensive building that spawns Spear Goblins when enemies are in range. Don't look inside... you don't want to see how they're made.","Bâtiment défensif qui génère des gobelins à lances quand des ennemis se trouvent à sa portée. Ne regardez pas à l'intérieur, vous ne voulez pas savoir de quoi ils sont faits !","Verteidigungsgebäude, das Speerkobolde ausstößt, wenn Feinde in Reichweite sind. Nicht hineinschauen! Sonst kriegst du noch mit, wie sie gemacht werden ...","Estructura defensiva que genera duendes con lanza cuando los enemigos entran en su radio de alcance. Ni se te ocurra mirar dentro, no querrás saber de dónde salen...","Un edificio difensivo che genera goblin lancieri, quando i nemici entrano nel suo raggio d'azione. Non ci guardare dentro... Meglio non sapere come fanno a uscirne fuori così tanti da lì.","Gebouw dat speerkobolden voortbrengt als er vijanden binnen bereik zijn. Niet naar binnen kijken... Je wilt niet weten hoe ze worden gemaakt.","En forsvarsbygning som skaper spydnisser når fiender er innenfor rekkevidde. Men ikke se på innsiden ... Du vil ikke vite hvordan de lages.","Menzil içinde düşman varken Mızraklı Goblin üreten bir savunma binası. İçine bakmazsan iyi edersin. Nasıl yapıldıklarını görmek istemezsin.","敵が近付くと槍ゴブリンが飛び出る防衛設備です。でも中を見てはいけません！ゴブリンがどんなふうに生まれてくるかなんて、知らない方が幸せですよ...","적이 범위 내에 들어오면 창 고블린을 생성하는 방어형 건물입니다. 생성 과정이 별로 아름답진 않으니, 들여다보지는 마세요!","Оборонное здание, из которого выходят гоблины-копейщики, когда враги подходят слишком близко. Главное, не заглядывать внутрь — это зрелище не для слабонервных.","مبنى دفاعي يولد غيلان الرمح عند تواجد الأعداء في النطاق. لا تنظر في الداخل... لن يعجبك المنظر.","Construção defensiva que gera Goblins Lanceiros quando há inimigos ao alcance. Mas não olhe lá dentro: é melhor não saber como são feitos...","范围内有敌人时，这座防御建筑会放出哥布林投矛手。千万别往里瞧，相信我，你不会想知道他们是如何训练出来的。","範圍內有敵人時，這座防禦建築會放出哥布林投矛手。千萬別往裡面看，相信我，你不會想知道他們是如何被製造出來的。","ساختمون دفاعی که وقتی دشمنا تو دامنه اون باشن، گابلین‌های نیزه‌دار رو تکثیر می‌کنه. به داخلش نگاه نکن... برای خودت بهتره که نحوه ساختشون رو نبینی.","Bangunan pertahanan ini mengeluarkan Goblin Tombak saat ada lawan dalam jangkauan. Namun, jangan coba-coba menengok ke dalam ... nanti tidak bisa tidur.","Bangunan pertahanan yang mewujudkan Goblin Lembing apabila musuh berada dalam jarak tembak. Jangan lihat di dalam, anda tidak mahu melihat cara mereka dihasilkan.","สิ่งก่อสร้างป้องกันที่ให้กำเนิดก็อบลินถือหอกเมื่อศัตรูอยู่ในระยะ แต่อย่ามองเข้าไปข้างในเชียวนะ... ท่านไม่อยากเห็นวิธีสร้างพวกมันหรอก","Tästä puolustusrakennuksesta säntää taisteluun keihäshiisiä, kun vihollisia on kantamaetäisyydellä. Älä vain kurkista rakennuksen sisään. Et halua tietää miten näitä hiisiä tehdään.","Công trình phòng thủ tạo ra Yêu tinh ném lao khi có đối thủ trong phạm vi. Đừng dại mà nhìn vào bên trong... bạn không muốn thấy cách chúng được tạo ra đâu."
"TID_SPELL_INFO_EVO_FIRE_SPIRIT_HUT","All fired up! When it's hot and attacking, Evolved Furnace summons Fire Spirits even faster from hat to hearth.","Ça chauffe ! Quand elle est chargée et en attaque, la fournaise évoluée invoque des esprits de feu encore plus rapidement.","Feuer frei! Wenn er aufgeheizt angreift, stößt der entwickelte Ofen noch schneller Feuergeister aus.","¡Esto quema! Cuando está a fuego vivo y atacando, la evolución del horno invoca espíritus de fuego con una rapidez aún mayor.","La situazione qui si sta scaldando un po' troppo! Quando è bella calda e sta attaccando, la fornace evoluta genera spiriti del fuoco ancora più in fretta!","Brandende passie! De geëvolueerde oven roept nog sneller vuurgeesten op tijdens het aanvallen.","I fyr og flamme! Når det utviklede ildstedet er glohett og i angrep, påkaller det ildånder enda raskere fra hatt til grue.","İyice harlandı! Evrimleşmiş Fırın, tamamen ısınıp saldırdığı sırada Ateş Ruhlarını daha da hızlı çağırır.","熱気全開！限界突破したオーブンは、攻撃時に超高速でファイアスピリットを召喚します！","활활 불타오릅니다! 진화한 용광로가 뜨겁게 공격 중일 때, 파이어 스피릿을 훨씬 더 빠르게 생성합니다.","Будет жарко! Раскалившись и атакуя, эволюция печи призывает огненных духов еще быстрее.","يشعر الكل بالحماس! عندما يسخن الفرن المطوّر ويهاجم، يقوم باستدعاء أرواح النار بوتيرة أسرع من لمح البصر.","A todo vapor! Quando está quente e atacando, a Fornalha evoluída invoca Espíritos de Fogo ainda mais rápido.","火力全开！在高温攻击状态下，觉醒烈焰熔炉召唤烈焰精灵的速度会全方位提升。","火力全開！在高溫攻擊狀態下，進化烈焰熔爐召喚烈焰精靈的速度會全方位提升。","کاملاً شعله‌ور و آماده! «کوره تکامل‌یافته» وقتی داغ می‌شه و حمله می‌کنه، حتی سریع‌تر از قبل از سر تا ته روح‌های آتشین رو احضار می‌کنه.","Jangan tunggu panas baru menyerang! Dengan Evolusi Tungku, Roh Api muncul lebih cepat dan membuat Arena makin panas!","Berapi-api! Apabila meruap kepanasan ketika menyerang, Relau evolusi menyeru Roh Api lebih cepat.","ร้อนพลุ่งพล่าน! เมื่อโจมตีและร้อนได้ที่ เตาหลอมที่วิวัฒนาการแล้วจะเรียกวิญญาณไฟออกมาได้เร็วขึ้น","Nyt on kuumat paikat! Kehittyneen uunin ollessa kuuma se syöksee hyökätessään tulen henkiä vieläkin nopeammin.","Nổi lửa lên nào! Khi tấn công và nhiệt độ lò nóng lên, Lò lửa tiến hóa sẽ triệu hồi các Hỏa Tinh Linh thậm chí còn nhanh hơn."
"TID_SEASONAL_TROPHY_ROAD_LOCKED","Seasonal Arenas Unlock!","Arènes saisonnières débloquées !","Saisonale Arenen freischalten!","Desbloqueo de las arenas de temporada","Sblocco delle arene stagionali","Ontgrendeling seizoensarena's!","Opplåsning av sesongarenaer!","Sezon arenaları açıldı!","シーズンアリーナをアンロック！","시즌 아레나 잠금 해제!","Разблокировка сезонных арен","فتح الساحات الموسمية!","Arenas sazonais desbloqueadas!","赛季竞技场已解锁！","賽季競技場已解鎖！","میدان‌های نبرد فصلی باز شدن!","Arena Musiman Terbuka!","Arena Bermusim Dibuka!","ปลดล็อคสนามประลองประจำฤดูกาลแล้ว!","Kausittaisten areenoiden avaus!","Mở khóa Đấu trường theo mùa!"
"TID_SEASONAL_TROPHY_ROAD_INACTIVE","Seasonal Arenas Starting Soon!","Les arènes saisonnières commencent bientôt !","Saisonale Arenen beginnen bald!","¡Las arenas de temporada pronto estarán disponibles!","Le arene stagionali saranno disponibili a breve!","Seizoensarena's beginnen binnenkort!","Sesongarenaer begynner snart!","Sezon arenaları yakında açılıyor!","シーズンアリーナが間もなく始まります！","시즌 아레나 곧 시작!","Скоро начнутся сезонные арены!","الساحات الموسمية تبدأ قريبًا!","As arenas sazonais começam em breve!","赛季竞技场即将开启！","賽季競技場即將開啟！","میدان‌های نبرد فصلی به‌زودی شروع می‌شن!","Arena Musiman Segera Dimulai!","Arena Bermusim Bakal Bermula!","สนามประลองประจำฤดูกาลเริ่มต้นเร็วๆ นี้!","Kausittaiset areenat saapuvat pian!","Đấu trường theo mùa sẽ sớm mở cửa!"
"TID_CLAN_RUSH_NEED_CLAN","You must join a Clan before the event begins to participate","Vous devez rejoindre un clan avant le début de l'événement pour participer","Du musst vor Beginn des Ereignisses einem Clan beitreten, um teilzunehmen.","Únete a un clan antes de que comience el evento para participar.","Per partecipare, devi entrare in un clan prima che l'evento inizi.","Je moet je bij een clan aansluiten voordat het evenement begint om mee te doen.","For å delta må du bli med i en klan før hendelsen begynner","Etkinliğe katılmak için etkinlik başlamadan önce bir klana katılmalısın.","イベントに参加するには、開始前にクランに所属している必要があります","이벤트에 참가하려면, 시작 전에 반드시 클랜에 가입해야 합니다.","Чтобы принять участие, нужно вступить в клан до начала события.","يجب أن تنضم إلى قبيلة قبل بدء الحدث حتى تتمكن من المشاركة.","Você precisa entrar em um clã antes do início do evento para participar.","必须加入部落才能参加本次活动","必須加入部落才能參加本次活動","باید قبل شروع رویداد به یه قبیله ملحق بشی تا بتونی شرکت کنی","Untuk berpartisipasi, kamu harus bergabung ke Klan sebelum acara dimulai.","Anda mesti sertai klan sebelum acara bermula untuk menyertai","ท่านต้องอยู่ในแคลนก่อนเริ่มอีเวนท์ถึงจะเข้าร่วมได้","Sinun tulee liittyä klaaniin ennen tapahtuman alkamista, jotta voit osallistua.","Để tham gia, bạn cần phải gia nhập một Hội trước khi sự kiện bắt đầu."
"TID_CLAN_RUSH_COLLECT_CROWNS","Collect Crowns with your Clan!","Récupérez des couronnes avec votre clan !","Sammle Kronen mit deinem Clan!","¡Reúne coronas con tu clan!","Accumula corone col clan!","Verzamel kronen met je clan!","Samle kroner sammen med klanen!","Klanınla birlikte taç topla!","クランと一緒にクラウンを集めましょう！","클랜과 함께 크라운을 모으세요!","Собирай короны вместе с кланом!","اجمع التيجان مع قبيلتك!","Colete coroas com o seu clã!","与部落成员一起收集皇冠！","與部落成員一起收集皇冠！","با قبیله خودت تاج جمع کن!","Kumpulkan Mahkota bersama Klan!","Kumpul mahkota bersama klan anda!","เก็บมงกุฎร่วมกับแคลนของท่าน!","Kerää kruunuja klaanisi kanssa!","Thu thập Vương miện cùng Hội của bạn!"
"TID_CLAN_RUSH_ABANDONED","No Clan, no rewards! You must be in a Clan when the event kicks off","Pas de clan, pas de récompenses ! Vous devez être dans un clan quand l'événement commence","Kein Clan, keine Belohnungen! Du musst in einem Clan sein, wenn das Ereignis beginnt.","¡Sin clan no hay recompensas! Debes formar parte de un clan cuando comience el evento.","Niente clan? Niente ricompense! Devi far parte di un clan quando inizia l'evento.","Geen clan, geen beloningen! Je moet lid zijn van een clan wanneer het evenement begint.","Ingen klan, ingen belønninger! Du må være med i en klan når hendelsen begynner","Klanın yoksa ödül de yok! Etkinlik başlamadan önce bir klana katılmalısın.","クランに入っていないと報酬はもらえません！イベント開始時にクランに所属している必要があります。","클랜 없이는 보상도 없습니다! 이벤트가 시작 전에 반드시 클랜에 소속되어 있어야 합니다.","Нет клана — нет наград! Тебе нужно быть в клане, когда событие начнется.","لا قبيلة، لا جوائز! يجب أن تكون في قبيلة عند انطلاق الحدث.","Sem clã, sem recompensas! Você precisa fazer parte de um clã no início do evento.","没有部落就没有奖励哦！活动开始时，您必须是已加入部落的状态。","沒有部落就沒有獎勵唷！活動開始時，你必須是已加入部落的狀態。","بدون قبیله خبری از جایزه نیست! باید موقع شروع رویداد تو یه قبیله باشی","Tidak ada Klan, tidak ada hadiah! Kamu harus berada dalam Klan saat acara dimulai.","Tiada klan, tiada ganjaran! Anda mesti berada dalam klan apabila acara bermula.","ไม่มีแคลน ไม่มีรางวัล! ท่านจะต้องอยู่ในแคลนเมื่ออีเวนท์เริ่มต้น","Ei klaania, ei palkintoja! Sinun tulee kuulua klaaniin ennen tapahtuman alkua.","Không có Hội thì không có phần thưởng! Bạn phải là thành viên của một Hội khi sự kiện bắt đầu."
"TID_CLAN_RUSH_STAY_TUNED","Stay tuned for the next event!","Ne manquez pas le prochain événement !","Bleib für das nächste Ereignis dran!","¡No te pierdas el próximo evento!","Tieni gli occhi aperti per il prossimo evento!","Houd je ogen open voor een nieuw evenement!","Følg med, det kommer en ny hendelse!","Bir sonraki etkinliği bekle!","次のイベントをお楽しみに！","다음 이벤트를 기대해 주세요!","Не пропусти начало следующего события!","تابعنا لمعرفة الحدث القادم!","Fique de olho no próximo evento!","敬请期待下个活动！","敬請期待下個活動！","گوش‌به‌زنگ رویداد بعدی باش!","Nantikan acara berikutnya!","Nantikan acara seterusnya!","โปรดติดตามอีเวนท์ถัดไป!","Pysy kuulolla tulevan tapahtuman varalta!","Hãy chú ý theo dõi sự kiện tiếp theo!"
"TID_CLAN_RUSH_COMPLETED","has completed the event!","a terminé l'événement !","hat das Ereignis abgeschlossen!","ha completado el evento.","ha completato l'evento!","heeft het evenement voltooid!","har fullført hendelsen","etkinliği tamamladı!","イベントを完了しました！","이벤트 종료!","заканчивает событие!","أنهى الحدث!","completou o evento!","已完成活动！","已完成活動！","رویداد رو تکمیل کرده!","telah menyelesaikan acara!","telah selesaikan acara ini!","ทำอีเวนท์เสร็จสิ้นแล้ว!","on suorittanut tapahtuman!","đã hoàn thành sự kiện!"
"TID_CLAN_RUSH_REQUIREMENT","Collect at least <item_count> <item_name> to earn rewards","Récupérez au moins <item_count>x <item_name> pour gagner des récompenses","Sammle mindestens <item_count> <item_name>, um Belohnungen zu verdienen.","Reúne al menos <item_count> unidad(es) del siguiente objeto para ganar recompensas: <item_name>.","Ottieni almeno <item_count> <item_name> per guadagnare ricompense.","Verzamel minstens <item_count> <item_name> om beloningen te verdienen.","Samle minst <item_count> <item_name> for å få belønninger","Ödül kazanmak için en az <item_count> <item_name> topla.","報酬を獲得するには<item_name>が<item_count>個以上必要です","보상을 받으려면 최소 <item_name> <item_count>개를 모으세요.","<item_name>: собери не менее <item_count>, чтобы заработать награды.","اجمع <item_count> <item_name> على الأقل لتربح الجوائز","<item_name>: colete pelo menos <item_count> para ganhar recompensas.","收集至少<item_count>个<item_name>以赢取奖励","收集至少<item_count>個<item_name>以贏取獎勵","برای گرفتن جوایز، حداقل <item_count> <item_name> جمع کن","Kumpulkan setidaknya <item_count> <item_name> untuk meraih hadiah.","Kumpul sekurang-kurangnya <item_count> <item_name> untuk meraih ganjaran","เก็บ <item_name> อย่างน้อย <item_count> ชิ้นเพื่อรับรางวัล","Kerää ainakin <item_count> x <item_name>, niin ansaitset palkintoja.","Thu thập ít nhất <item_count> <item_name> để nhận phần thưởng."
"TID_ABILITY_OUT_OF_CHARGES","Out of Charges","Plus de charges","Keine Aufladungen mehr","Sin cargas","Cariche esaurite","Geen ladingen meer","Tom for ladninger","Kalmadı","チャージ不足","충전 소진","Заряды кончились","نفدت الشحنات","Sem cargas","次数耗尽","次數耗盡","بدون شارژ","Daya Habis","Tiada lagi pecutan","ชาร์จหมด","Lataukset loppu.","Hết năng lượng"
"TID_NEXT_SEASON_BONUS","Next Season Bonus","Prochain bonus de saison","Bonus in der nächsten Saison","Próximo bonus de temporada","Bonus per la prossima stagione","Bonus voor volgend seizoen","Neste sesong-bonus","Sonraki Sezon Bonusu","来シーズンのボーナス","다음 시즌 보너스","Бонус следующего сезона","مكافأة الموسم التالي","Próximo bônus de temporada","下一季额外奖励","下一季額外獎勵","پاداش فصل بعدی","Bonus Musim Berikutnya","Bonus Musim Berikut","โบนัสฤดูกาลหน้า","Seuraavan kauden bonus","Thưởng Mùa giải tiếp theo"
"TID_SWITCHER_SEASONAL_ARENA","Seasonal Arenas","Arènes saisonnières","Saisonale Arenen","Arenas de temporada","Arene stagionali","Seizoensarena's","Sesongarenaer","Sezon Arenaları","シーズンアリーナ","시즌 아레나","Сезонные арены","الساحات الموسمية","Arenas sazonais","赛季竞技场","賽季競技場","میدان‌های نبرد فصلی","Arena Musiman","Arena Bermusim","สนามประลองประจำฤดูกาล","Kausittaiset areenat","Đấu trường theo mùa"
"TID_ROYALTV_SEASONAL_ARENAS_TITLE","Seasonal Arenas","Arènes saisonnières","Saisonale Arenen","Arenas de temporada","Arene stagionali","Seizoensarena's","Sesongarenaer","Sezon Arenaları","シーズンアリーナ","시즌 아레나","Сезонные арены","الساحات الموسمية","Arenas sazonais","赛季竞技场","賽季競技場","میدان‌های نبرد فصلی","Arena Musiman","Arena Bermusim","สนามประลองประจำฤดูกาล","Kausittaiset areenat","Đấu trường theo mùa"
"TID_ROYALTV_INFO_SEASONAL_ARENA1","Seasonal Arena 1","Arène saisonnière 1","Saisonale Arena 1","Arena de temporada 1","Arena stagionale 1","Seizoensarena 1","Sesongarena 1","Sezon Arenası 1","シーズンアリーナ1","시즌 아레나 1","Сезонная арена 1","الساحة الموسمية 1","Arena sazonal 1","1阶赛季竞技场","1階賽季競技場","میدان نبرد فصلی 1","Arena Musiman 1","Arena Bermusim 1","สนามประลองประจำฤดูกาล 1","Kausittainen areena 1","Đấu trường theo mùa 1"
"TID_ROYALTV_INFO_SEASONAL_ARENA2","Seasonal Arena 2","Arène saisonnière 2","Saisonale Arena 2","Arena de temporada 2","Arena stagionale 2","Seizoensarena 2","Sesongarena 2","Sezon Arenası 2","シーズンアリーナ2","시즌 아레나 2","Сезонная арена 2","الساحة الموسمية 2","Arena sazonal 2","2阶赛季竞技场","2階賽季競技場","میدان نبرد فصلی 2","Arena Musiman 2","Arena Bermusim 2","สนามประลองประจำฤดูกาล 2","Kausittainen areena 2","Đấu trường theo mùa 2"
"TID_ROYALTV_INFO_SEASONAL_ARENA3","Seasonal Arena 3","Arène saisonnière 3","Saisonale Arena 3","Arena de temporada 3","Arena stagionale 3","Seizoensarena 3","Sesongarena 3","Sezon Arenası 3","シーズンアリーナ3","시즌 아레나 3","Сезонная арена 3","الساحة الموسمية 3","Arena sazonal 3","3阶赛季竞技场","3階賽季競技場","میدان نبرد فصلی 3","Arena Musiman 3","Arena Bermusim 3","สนามประลองประจำฤดูกาล 3","Kausittainen areena 3","Đấu trường theo mùa 3"
"TID_ROYALTV_INFO_SEASONAL_ARENA4","Seasonal Arena 4","Arène saisonnière 4","Saisonale Arena 4","Arena de temporada 4","Arena stagionale 4","Seizoensarena 4","Sesongarena 4","Sezon Arenası 4","シーズンアリーナ4","시즌 아레나 4","Сезонная арена 4","الساحة الموسمية 4","Arena sazonal 4","4阶赛季竞技场","4階賽季競技場","میدان نبرد فصلی 4","Arena Musiman 4","Arena Bermusim 4","สนามประลองประจำฤดูกาล 4","Kausittainen areena 4","Đấu trường theo mùa 4"
"TID_ROYALTV_INFO_SEASONAL_ARENA5","Seasonal Arena 5","Arène saisonnière 5","Saisonale Arena 5","Arena de temporada 5","Arena stagionale 5","Seizoensarena 5","Sesongarena 5","Sezon Arenası 5","シーズンアリーナ5","시즌 아레나 5","Сезонная арена 5","الساحة الموسمية 5","Arena sazonal 5","5阶赛季竞技场","5階賽季競技場","میدان نبرد فصلی 5","Arena Musiman 5","Arena Bermusim 5","สนามประลองประจำฤดูกาล 5","Kausittainen areena 5","Đấu trường theo mùa 5"
"TID_SEASONAL_ARENA_1","Seasonal Arena 1","Arène saisonnière 1","Saisonale Arena 1","Arena de temporada 1","Arena stagionale 1","Seizoensarena 1","Sesongarena 1","Sezon Arenası 1","シーズンアリーナ1","시즌 아레나 1","Сезонная арена 1","الساحة الموسمية 1","Arena sazonal 1","1阶赛季竞技场","1階賽季競技場","میدان نبرد فصلی 1","Arena Musiman 1","Arena Bermusim 1","สนามประลองประจำฤดูกาล 1","Kausittainen areena 1","Đấu trường theo mùa 1"
"TID_SEASONAL_ARENA_2","Seasonal Arena 2","Arène saisonnière 2","Saisonale Arena 2","Arena de temporada 2","Arena stagionale 2","Seizoensarena 2","Sesongarena 2","Sezon Arenası 2","シーズンアリーナ2","시즌 아레나 2","Сезонная арена 2","الساحة الموسمية 2","Arena sazonal 2","2阶赛季竞技场","2階賽季競技場","میدان نبرد فصلی 2","Arena Musiman 2","Arena Bermusim 2","สนามประลองประจำฤดูกาล 2","Kausittainen areena 2","Đấu trường theo mùa 2"
"TID_SEASONAL_ARENA_3","Seasonal Arena 3","Arène saisonnière 3","Saisonale Arena 3","Arena de temporada 3","Arena stagionale 3","Seizoensarena 3","Sesongarena 3","Sezon Arenası 3","シーズンアリーナ3","시즌 아레나 3","Сезонная арена 3","الساحة الموسمية 3","Arena sazonal 3","3阶赛季竞技场","3階賽季競技場","میدان نبرد فصلی 3","Arena Musiman 3","Arena Bermusim 3","สนามประลองประจำฤดูกาล 3","Kausittainen areena 3","Đấu trường theo mùa 3"
"TID_SEASONAL_ARENA_4","Seasonal Arena 4","Arène saisonnière 4","Saisonale Arena 4","Arena de temporada 4","Arena stagionale 4","Seizoensarena 4","Sesongarena 4","Sezon Arenası 4","シーズンアリーナ4","시즌 아레나 4","Сезонная арена 4","الساحة الموسمية 4","Arena sazonal 4","4阶赛季竞技场","4階賽季競技場","میدان نبرد فصلی 4","Arena Musiman 4","Arena Bermusim 4","สนามประลองประจำฤดูกาล 4","Kausittainen areena 4","Đấu trường theo mùa 4"
